Date : 2026-07-15 13:57:20
Directory : c:\Users\Miro\source\repos\Embe.C2C
Total : 532 files,  42903 codes, 273 comments, 8322 blanks, all 51498 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\Embe.C2C.Application                                                                                                                        |        188 |      5,613 |        116 |        841 |      6,570 |
| src\Embe.C2C.Application (Files)                                                                                                                |          1 |         14 |          0 |          5 |         19 |
| src\Embe.C2C.Application\Abstractions                                                                                                           |         12 |        297 |          6 |         54 |        357 |
| src\Embe.C2C.Application\Abstractions (Files)                                                                                                   |          1 |         58 |          0 |         14 |         72 |
| src\Embe.C2C.Application\Abstractions\Entities                                                                                                  |          1 |         12 |          0 |          1 |         13 |
| src\Embe.C2C.Application\Abstractions\Repos                                                                                                     |          1 |        111 |          0 |         14 |        125 |
| src\Embe.C2C.Application\Abstractions\Services                                                                                                  |          9 |        116 |          6 |         25 |        147 |
| src\Embe.C2C.Application\Abstractions\Services (Files)                                                                                          |          4 |         50 |          6 |          9 |         65 |
| src\Embe.C2C.Application\Abstractions\Services\AuthServices                                                                                     |          2 |         53 |          0 |         11 |         64 |
| src\Embe.C2C.Application\Abstractions\Services\WorkItemServices                                                                                 |          3 |         13 |          0 |          5 |         18 |
| src\Embe.C2C.Application\Abstractions\Services\WorkItemServices (Files)                                                                         |          1 |          9 |          0 |          3 |         12 |
| src\Embe.C2C.Application\Abstractions\Services\WorkItemServices\WorkItems                                                                       |          2 |          4 |          0 |          2 |          6 |
| src\Embe.C2C.Application\Authorizations                                                                                                         |         35 |      1,056 |        102 |        184 |      1,342 |
| src\Embe.C2C.Application\Authorizations (Files)                                                                                                 |          5 |        408 |        101 |         65 |        574 |
| src\Embe.C2C.Application\Authorizations\FactGenerators                                                                                          |          6 |        268 |          0 |         38 |        306 |
| src\Embe.C2C.Application\Authorizations\FactStores                                                                                              |         24 |        380 |          1 |         81 |        462 |
| src\Embe.C2C.Application\Authorizations\FactStores (Files)                                                                                      |          2 |         29 |          0 |          7 |         36 |
| src\Embe.C2C.Application\Authorizations\FactStores\Conversations                                                                                |          2 |         37 |          0 |          5 |         42 |
| src\Embe.C2C.Application\Authorizations\FactStores\Conversations (Files)                                                                        |          1 |         35 |          0 |          4 |         39 |
| src\Embe.C2C.Application\Authorizations\FactStores\Conversations\Facts                                                                          |          1 |          2 |          0 |          1 |          3 |
| src\Embe.C2C.Application\Authorizations\FactStores\Judgements                                                                                   |          4 |         62 |          0 |         14 |         76 |
| src\Embe.C2C.Application\Authorizations\FactStores\Judgements (Files)                                                                           |          1 |         56 |          0 |         10 |         66 |
| src\Embe.C2C.Application\Authorizations\FactStores\Judgements\Facts                                                                             |          3 |          6 |          0 |          4 |         10 |
| src\Embe.C2C.Application\Authorizations\FactStores\Matches                                                                                      |          2 |         25 |          0 |          5 |         30 |
| src\Embe.C2C.Application\Authorizations\FactStores\Matches (Files)                                                                              |          1 |         23 |          0 |          4 |         27 |
| src\Embe.C2C.Application\Authorizations\FactStores\Matches\Facts                                                                                |          1 |          2 |          0 |          1 |          3 |
| src\Embe.C2C.Application\Authorizations\FactStores\Messages                                                                                     |          3 |         68 |          0 |          9 |         77 |
| src\Embe.C2C.Application\Authorizations\FactStores\Messages (Files)                                                                             |          1 |         64 |          0 |          7 |         71 |
| src\Embe.C2C.Application\Authorizations\FactStores\Messages\Facts                                                                               |          2 |          4 |          0 |          2 |          6 |
| src\Embe.C2C.Application\Authorizations\FactStores\SearchProfiles                                                                               |          4 |         65 |          1 |         16 |         82 |
| src\Embe.C2C.Application\Authorizations\FactStores\SearchProfiles (Files)                                                                       |          1 |         59 |          0 |         12 |         71 |
| src\Embe.C2C.Application\Authorizations\FactStores\SearchProfiles\Facts                                                                         |          3 |          6 |          1 |          4 |         11 |
| src\Embe.C2C.Application\Authorizations\FactStores\Users                                                                                        |          7 |         94 |          0 |         25 |        119 |
| src\Embe.C2C.Application\Authorizations\FactStores\Users (Files)                                                                                |          1 |         80 |          0 |         19 |         99 |
| src\Embe.C2C.Application\Authorizations\FactStores\Users\Facts                                                                                  |          6 |         14 |          0 |          6 |         20 |
| src\Embe.C2C.Application\Commands                                                                                                               |         41 |      1,528 |          1 |        206 |      1,735 |
| src\Embe.C2C.Application\Commands (Files)                                                                                                       |          1 |         48 |          0 |          8 |         56 |
| src\Embe.C2C.Application\Commands\Auth                                                                                                          |          6 |         91 |          0 |         15 |        106 |
| src\Embe.C2C.Application\Commands\Auth (Files)                                                                                                  |          3 |          6 |          0 |          4 |         10 |
| src\Embe.C2C.Application\Commands\Auth\Handlers                                                                                                 |          3 |         85 |          0 |         11 |         96 |
| src\Embe.C2C.Application\Commands\Images                                                                                                        |          2 |         56 |          0 |          7 |         63 |
| src\Embe.C2C.Application\Commands\Images (Files)                                                                                                |          1 |          6 |          0 |          1 |          7 |
| src\Embe.C2C.Application\Commands\Images\Handlers                                                                                               |          1 |         50 |          0 |          6 |         56 |
| src\Embe.C2C.Application\Commands\Judgements                                                                                                    |          2 |        157 |          0 |         15 |        172 |
| src\Embe.C2C.Application\Commands\Judgements (Files)                                                                                            |          1 |          2 |          0 |          1 |          3 |
| src\Embe.C2C.Application\Commands\Judgements\Handlers                                                                                           |          1 |        155 |          0 |         14 |        169 |
| src\Embe.C2C.Application\Commands\Matching                                                                                                      |          2 |         51 |          0 |          8 |         59 |
| src\Embe.C2C.Application\Commands\Matching (Files)                                                                                              |          1 |          2 |          0 |          1 |          3 |
| src\Embe.C2C.Application\Commands\Matching\Handlers                                                                                             |          1 |         49 |          0 |          7 |         56 |
| src\Embe.C2C.Application\Commands\Messages                                                                                                      |          8 |        287 |          0 |         43 |        330 |
| src\Embe.C2C.Application\Commands\Messages (Files)                                                                                              |          4 |          8 |          0 |          4 |         12 |
| src\Embe.C2C.Application\Commands\Messages\Handlers                                                                                             |          4 |        279 |          0 |         39 |        318 |
| src\Embe.C2C.Application\Commands\Notifications                                                                                                 |          4 |         34 |          0 |         10 |         44 |
| src\Embe.C2C.Application\Commands\Notifications (Files)                                                                                         |          2 |          4 |          0 |          3 |          7 |
| src\Embe.C2C.Application\Commands\Notifications\Handlers                                                                                        |          2 |         30 |          0 |          7 |         37 |
| src\Embe.C2C.Application\Commands\SearchProfiles                                                                                                |          6 |        376 |          0 |         34 |        410 |
| src\Embe.C2C.Application\Commands\SearchProfiles (Files)                                                                                        |          3 |         41 |          0 |          6 |         47 |
| src\Embe.C2C.Application\Commands\SearchProfiles\Handlers                                                                                       |          3 |        335 |          0 |         28 |        363 |
| src\Embe.C2C.Application\Commands\Users                                                                                                         |         10 |        428 |          1 |         66 |        495 |
| src\Embe.C2C.Application\Commands\Users (Files)                                                                                                 |          5 |         57 |          0 |         10 |         67 |
| src\Embe.C2C.Application\Commands\Users\Handlers                                                                                                |          5 |        371 |          1 |         56 |        428 |
| src\Embe.C2C.Application\Dtos                                                                                                                   |         43 |      1,168 |          0 |        159 |      1,327 |
| src\Embe.C2C.Application\Dtos (Files)                                                                                                           |          1 |         27 |          0 |          5 |         32 |
| src\Embe.C2C.Application\Dtos\Read                                                                                                              |         25 |        970 |          0 |        127 |      1,097 |
| src\Embe.C2C.Application\Dtos\Read (Files)                                                                                                      |          2 |         13 |          0 |          3 |         16 |
| src\Embe.C2C.Application\Dtos\Read\Aggregates                                                                                                   |         11 |        425 |          0 |         60 |        485 |
| src\Embe.C2C.Application\Dtos\Read\Entities                                                                                                     |          2 |         79 |          0 |         12 |         91 |
| src\Embe.C2C.Application\Dtos\Read\ValueObjects                                                                                                 |          5 |         73 |          0 |         15 |         88 |
| src\Embe.C2C.Application\Dtos\Read\Variants                                                                                                     |          5 |        380 |          0 |         37 |        417 |
| src\Embe.C2C.Application\Dtos\Read\Variants\Aggregates                                                                                          |          4 |        349 |          0 |         32 |        381 |
| src\Embe.C2C.Application\Dtos\Read\Variants\ValueObjects                                                                                        |          1 |         31 |          0 |          5 |         36 |
| src\Embe.C2C.Application\Dtos\Write                                                                                                             |         17 |        171 |          0 |         27 |        198 |
| src\Embe.C2C.Application\Dtos\Write\Aggregates                                                                                                  |          9 |        101 |          0 |         14 |        115 |
| src\Embe.C2C.Application\Dtos\Write\Entities                                                                                                    |          2 |         26 |          0 |          4 |         30 |
| src\Embe.C2C.Application\Dtos\Write\ValueObjects                                                                                                |          6 |         44 |          0 |          9 |         53 |
| src\Embe.C2C.Application\Enrichment                                                                                                             |          1 |          7 |          0 |          2 |          9 |
| src\Embe.C2C.Application\Enrichment\Aggregates                                                                                                  |          1 |          7 |          0 |          2 |          9 |
| src\Embe.C2C.Application\EventHandlers                                                                                                          |          2 |        347 |          1 |         42 |        390 |
| src\Embe.C2C.Application\Events                                                                                                                 |         12 |         87 |          0 |         28 |        115 |
| src\Embe.C2C.Application\Events (Files)                                                                                                         |          2 |         33 |          0 |          7 |         40 |
| src\Embe.C2C.Application\Events\Images                                                                                                          |          2 |          6 |          0 |          5 |         11 |
| src\Embe.C2C.Application\Events\Messages                                                                                                        |          5 |         40 |          0 |          9 |         49 |
| src\Embe.C2C.Application\Events\Notifications                                                                                                   |          3 |          8 |          0 |          7 |         15 |
| src\Embe.C2C.Application\Extensions                                                                                                             |          8 |        331 |          0 |         47 |        378 |
| src\Embe.C2C.Application\Extensions (Files)                                                                                                     |          3 |        142 |          0 |         29 |        171 |
| src\Embe.C2C.Application\Extensions\Domain                                                                                                      |          5 |        189 |          0 |         18 |        207 |
| src\Embe.C2C.Application\Extensions\Domain\Aggregates                                                                                           |          5 |        189 |          0 |         18 |        207 |
| src\Embe.C2C.Application\Queries                                                                                                                |         33 |        778 |          6 |        114 |        898 |
| src\Embe.C2C.Application\Queries (Files)                                                                                                        |          2 |         38 |          0 |          9 |         47 |
| src\Embe.C2C.Application\Queries\Auth                                                                                                           |          2 |         18 |          0 |          5 |         23 |
| src\Embe.C2C.Application\Queries\Auth (Files)                                                                                                   |          1 |          2 |          0 |          1 |          3 |
| src\Embe.C2C.Application\Queries\Auth\Handlers                                                                                                  |          1 |         16 |          0 |          4 |         20 |
| src\Embe.C2C.Application\Queries\Geography                                                                                                      |          7 |         91 |          0 |         21 |        112 |
| src\Embe.C2C.Application\Queries\Geography (Files)                                                                                              |          3 |          6 |          0 |          3 |          9 |
| src\Embe.C2C.Application\Queries\Geography\Handlers                                                                                             |          4 |         85 |          0 |         18 |        103 |
| src\Embe.C2C.Application\Queries\Judgements                                                                                                     |          2 |         62 |          0 |          9 |         71 |
| src\Embe.C2C.Application\Queries\Judgements (Files)                                                                                             |          1 |          2 |          0 |          1 |          3 |
| src\Embe.C2C.Application\Queries\Judgements\Handlers                                                                                            |          1 |         60 |          0 |          8 |         68 |
| src\Embe.C2C.Application\Queries\Matchings                                                                                                      |          4 |        186 |          6 |         17 |        209 |
| src\Embe.C2C.Application\Queries\Matchings (Files)                                                                                              |          2 |          4 |          0 |          2 |          6 |
| src\Embe.C2C.Application\Queries\Matchings\Handlers                                                                                             |          2 |        182 |          6 |         15 |        203 |
| src\Embe.C2C.Application\Queries\Messages                                                                                                       |          4 |         88 |          0 |         14 |        102 |
| src\Embe.C2C.Application\Queries\Messages (Files)                                                                                               |          2 |          4 |          0 |          2 |          6 |
| src\Embe.C2C.Application\Queries\Messages\Handlers                                                                                              |          2 |         84 |          0 |         12 |         96 |
| src\Embe.C2C.Application\Queries\Notifications                                                                                                  |          2 |         52 |          0 |          8 |         60 |
| src\Embe.C2C.Application\Queries\Notifications\Handlers                                                                                         |          2 |         52 |          0 |          8 |         60 |
| src\Embe.C2C.Application\Queries\SearchProfiles                                                                                                 |          4 |        122 |          0 |         15 |        137 |
| src\Embe.C2C.Application\Queries\SearchProfiles (Files)                                                                                         |          2 |          7 |          0 |          2 |          9 |
| src\Embe.C2C.Application\Queries\SearchProfiles\Handlers                                                                                        |          2 |        115 |          0 |         13 |        128 |
| src\Embe.C2C.Application\Queries\Users                                                                                                          |          6 |        121 |          0 |         16 |        137 |
| src\Embe.C2C.Application\Queries\Users (Files)                                                                                                  |          3 |         16 |          0 |          2 |         18 |
| src\Embe.C2C.Application\Queries\Users\Handlers                                                                                                 |          3 |        105 |          0 |         14 |        119 |
| src\Embe.C2C.Aspire                                                                                                                             |         28 |      3,033 |          7 |      1,088 |      4,128 |
| src\Embe.C2C.Aspire (Files)                                                                                                                     |          3 |         90 |          0 |         11 |        101 |
| src\Embe.C2C.Aspire\.agents                                                                                                                     |         25 |      2,943 |          7 |      1,077 |      4,027 |
| src\Embe.C2C.Aspire\.agents\skills                                                                                                              |         25 |      2,943 |          7 |      1,077 |      4,027 |
| src\Embe.C2C.Aspire\.agents\skills\aspire                                                                                                       |          2 |        221 |          0 |         50 |        271 |
| src\Embe.C2C.Aspire\.agents\skills\aspire (Files)                                                                                               |          1 |        133 |          0 |         27 |        160 |
| src\Embe.C2C.Aspire\.agents\skills\aspire-deployment                                                                                            |         10 |      1,338 |          6 |        534 |      1,878 |
| src\Embe.C2C.Aspire\.agents\skills\aspire-deployment (Files)                                                                                    |          1 |        169 |          0 |         54 |        223 |
| src\Embe.C2C.Aspire\.agents\skills\aspire-deployment\references                                                                                 |          9 |      1,169 |          6 |        480 |      1,655 |
| src\Embe.C2C.Aspire\.agents\skills\aspire-init                                                                                                  |          3 |        282 |          0 |         82 |        364 |
| src\Embe.C2C.Aspire\.agents\skills\aspire-init (Files)                                                                                          |          1 |        118 |          0 |         29 |        147 |
| src\Embe.C2C.Aspire\.agents\skills\aspire-init\references                                                                                       |          2 |        164 |          0 |         53 |        217 |
| src\Embe.C2C.Aspire\.agents\skills\aspire-monitoring                                                                                            |          4 |        428 |          0 |        164 |        592 |
| src\Embe.C2C.Aspire\.agents\skills\aspire-monitoring (Files)                                                                                    |          1 |        146 |          0 |         52 |        198 |
| src\Embe.C2C.Aspire\.agents\skills\aspire-monitoring\references                                                                                 |          3 |        282 |          0 |        112 |        394 |
| src\Embe.C2C.Aspire\.agents\skills\aspire-orchestration                                                                                         |          6 |        674 |          1 |        247 |        922 |
| src\Embe.C2C.Aspire\.agents\skills\aspire-orchestration (Files)                                                                                 |          1 |        167 |          0 |         38 |        205 |
| src\Embe.C2C.Aspire\.agents\skills\aspire-orchestration\references                                                                              |          5 |        507 |          1 |        209 |        717 |
| src\Embe.C2C.Aspire\.agents\skills\aspire\references                                                                                            |          1 |         88 |          0 |         23 |        111 |
| src\Embe.C2C.Domain                                                                                                                             |         82 |      2,191 |          3 |        419 |      2,613 |
| src\Embe.C2C.Domain (Files)                                                                                                                     |          6 |         54 |          0 |         16 |         70 |
| src\Embe.C2C.Domain\Aggregates                                                                                                                  |         44 |      1,209 |          3 |        231 |      1,443 |
| src\Embe.C2C.Domain\Aggregates (Files)                                                                                                          |          1 |          7 |          0 |          2 |          9 |
| src\Embe.C2C.Domain\Aggregates\Accounts                                                                                                         |          6 |        161 |          0 |         35 |        196 |
| src\Embe.C2C.Domain\Aggregates\Accounts (Files)                                                                                                 |          1 |        131 |          0 |         24 |        155 |
| src\Embe.C2C.Domain\Aggregates\Accounts\Events                                                                                                  |          5 |         30 |          0 |         11 |         41 |
| src\Embe.C2C.Domain\Aggregates\Blockings                                                                                                        |          3 |         43 |          0 |         10 |         53 |
| src\Embe.C2C.Domain\Aggregates\Blockings (Files)                                                                                                |          1 |         39 |          0 |          8 |         47 |
| src\Embe.C2C.Domain\Aggregates\Blockings\Events                                                                                                 |          2 |          4 |          0 |          2 |          6 |
| src\Embe.C2C.Domain\Aggregates\Candidates                                                                                                       |          1 |         47 |          0 |          8 |         55 |
| src\Embe.C2C.Domain\Aggregates\ContactRequests                                                                                                  |          5 |         74 |          0 |         19 |         93 |
| src\Embe.C2C.Domain\Aggregates\ContactRequests (Files)                                                                                          |          1 |         66 |          0 |         13 |         79 |
| src\Embe.C2C.Domain\Aggregates\ContactRequests\Events                                                                                           |          4 |          8 |          0 |          6 |         14 |
| src\Embe.C2C.Domain\Aggregates\Contacts                                                                                                         |          2 |         42 |          0 |         10 |         52 |
| src\Embe.C2C.Domain\Aggregates\Contacts (Files)                                                                                                 |          1 |         40 |          0 |          9 |         49 |
| src\Embe.C2C.Domain\Aggregates\Contacts\Events                                                                                                  |          1 |          2 |          0 |          1 |          3 |
| src\Embe.C2C.Domain\Aggregates\Judgements                                                                                                       |          4 |         57 |          0 |         14 |         71 |
| src\Embe.C2C.Domain\Aggregates\Judgements (Files)                                                                                               |          1 |         51 |          0 |         11 |         62 |
| src\Embe.C2C.Domain\Aggregates\Judgements\Events                                                                                                |          3 |          6 |          0 |          3 |          9 |
| src\Embe.C2C.Domain\Aggregates\Matchings                                                                                                        |          3 |         82 |          0 |         12 |         94 |
| src\Embe.C2C.Domain\Aggregates\Matchings (Files)                                                                                                |          1 |         74 |          0 |         10 |         84 |
| src\Embe.C2C.Domain\Aggregates\Matchings\Events                                                                                                 |          2 |          8 |          0 |          2 |         10 |
| src\Embe.C2C.Domain\Aggregates\Messages                                                                                                         |          6 |         93 |          0 |         19 |        112 |
| src\Embe.C2C.Domain\Aggregates\Messages (Files)                                                                                                 |          1 |         81 |          0 |         15 |         96 |
| src\Embe.C2C.Domain\Aggregates\Messages\Events                                                                                                  |          5 |         12 |          0 |          4 |         16 |
| src\Embe.C2C.Domain\Aggregates\Notifications                                                                                                    |          6 |        113 |          0 |         21 |        134 |
| src\Embe.C2C.Domain\Aggregates\Notifications (Files)                                                                                            |          1 |         36 |          0 |          8 |         44 |
| src\Embe.C2C.Domain\Aggregates\Notifications\Events                                                                                             |          2 |          4 |          0 |          2 |          6 |
| src\Embe.C2C.Domain\Aggregates\Notifications\Matchings                                                                                          |          3 |         73 |          0 |         11 |         84 |
| src\Embe.C2C.Domain\Aggregates\SearchProfiles                                                                                                   |          1 |        207 |          0 |         35 |        242 |
| src\Embe.C2C.Domain\Aggregates\Transactions                                                                                                     |          1 |         63 |          1 |         10 |         74 |
| src\Embe.C2C.Domain\Aggregates\Users                                                                                                            |          5 |        220 |          2 |         36 |        258 |
| src\Embe.C2C.Domain\Aggregates\Users (Files)                                                                                                    |          1 |        206 |          2 |         31 |        239 |
| src\Embe.C2C.Domain\Aggregates\Users\Events                                                                                                     |          4 |         14 |          0 |          5 |         19 |
| src\Embe.C2C.Domain\Entities                                                                                                                    |          4 |        153 |          0 |         33 |        186 |
| src\Embe.C2C.Domain\Entities (Files)                                                                                                            |          3 |        128 |          0 |         27 |        155 |
| src\Embe.C2C.Domain\Entities\SearchProfiles                                                                                                     |          1 |         25 |          0 |          6 |         31 |
| src\Embe.C2C.Domain\Exceptions                                                                                                                  |          1 |          5 |          0 |          1 |          6 |
| src\Embe.C2C.Domain\Policies                                                                                                                    |          1 |         30 |          0 |          5 |         35 |
| src\Embe.C2C.Domain\Services                                                                                                                    |          6 |        301 |          0 |         46 |        347 |
| src\Embe.C2C.Domain\ValueObjects                                                                                                                |         20 |        439 |          0 |         87 |        526 |
| src\Embe.C2C.Domain\ValueObjects (Files)                                                                                                        |         15 |        353 |          0 |         73 |        426 |
| src\Embe.C2C.Domain\ValueObjects\Engagements                                                                                                    |          5 |         86 |          0 |         14 |        100 |
| src\Embe.C2C.Domain\ValueObjects\Engagements (Files)                                                                                            |          1 |         54 |          0 |          9 |         63 |
| src\Embe.C2C.Domain\ValueObjects\Engagements\Enums                                                                                              |          4 |         32 |          0 |          5 |         37 |
| src\Embe.C2C.Functions                                                                                                                          |          5 |         74 |          0 |         14 |         88 |
| src\Embe.C2C.Functions (Files)                                                                                                                  |          4 |         65 |          0 |         14 |         79 |
| src\Embe.C2C.Functions\Properties                                                                                                               |          1 |          9 |          0 |          0 |          9 |
| src\Embe.C2C.Infrastructure                                                                                                                     |         58 |     14,496 |         61 |      4,698 |     19,255 |
| src\Embe.C2C.Infrastructure (Files)                                                                                                             |          2 |         50 |          0 |          9 |         59 |
| src\Embe.C2C.Infrastructure\AspNetCore                                                                                                          |          1 |         24 |          0 |          4 |         28 |
| src\Embe.C2C.Infrastructure\Azure                                                                                                               |          3 |        171 |          0 |         29 |        200 |
| src\Embe.C2C.Infrastructure\Ef                                                                                                                  |         21 |        771 |          0 |        142 |        913 |
| src\Embe.C2C.Infrastructure\Ef\Configurations                                                                                                   |         18 |        440 |          0 |         85 |        525 |
| src\Embe.C2C.Infrastructure\Ef\Configurations (Files)                                                                                           |         12 |        346 |          0 |         68 |        414 |
